Target: 192.168.1.10 - SEHome-PC
Time range: From: 8/25/2015 8:08:07 PM to: 8/27/2015 8:08:07 PM
Usage stats:
User download usage (mb): 732.98 mb
Packets requested by user: 4,183,287.00
User upload usage (mb): 2,217,456.00
Packets sent by user: 2,217,456.00
Total download utilizatin (mb): 3,619.78 mb
Total Packets requested: 11,890,838.00
Bandwidth usage percentage: 20.25
Packets usage percentage: 35.18
8/26/2015 10:49:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,546,546,0&db_conn=1,0,0,0,0
8/26/2015 10:50:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,512,512,0&db_conn=1,0,0,0,0
8/26/2015 10:50:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/252490/sha/a22b646c6c13b6b36b7ff3d7e97c3a8a942a64e1.txt.gz
8/26/2015 10:50:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/234310/sha/5625d511fb8fe846213d0a099d247148fcec6f62.txt.gz
8/26/2015 10:51:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,534,534,0&db_conn=1,0,0,0,0
8/26/2015 10:52:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,656,656,0&db_conn=1,0,0,0,0
8/26/2015 10:53:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,533,533,0&db_conn=1,0,0,0,0
8/26/2015 10:54:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,631,631,0&db_conn=1,0,0,0,0
8/26/2015 10:55:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,544,544,0&db_conn=1,0,0,0,0
8/26/2015 10:56:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,639,639,0&db_conn=1,0,0,0,0
8/26/2015 10:57:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_connectportal=1,0,1052,1052,0&url_heartbeat=1,0,543,543,0&db_conn=1,0,0,0,0
8/26/2015 10:57:06 PM	, 	allow	, 	http://go.microsoft.com/fwlink/p/?LinkId=294747&clcid=409
8/26/2015 10:57:06 PM	, 	allow	, 	http://go.microsoft.com/fwlink/p/?LinkId=294748&clcid=409
